ENSG00000090487	ENSG00000119929
ENSG00000090487	ENSG00000127191
ENSG00000090487	ENSG00000135334
ENSG00000090487	ENSG00000147224
ENSG00000091073	ENSG00000104490
ENSG00000091073	ENSG00000107130
ENSG00000091073	ENSG00000115756
ENSG00000091073	ENSG00000116983
ENSG00000091073	ENSG00000131721
ENSG00000091073	ENSG00000157110
ENSG00000091073	ENSG00000163032
ENSG00000091073	ENSG00000185002
ENSG00000091073	ENSG00000188313
ENSG00000091436	ENSG00000189042
ENSG00000092010	ENSG00000100911
ENSG00000092140	ENSG00000178252
ENSG00000092199	ENSG00000092199
ENSG00000092199	ENSG00000102753
ENSG00000092199	ENSG00000102893
ENSG00000092199	ENSG00000103275
ENSG00000092199	ENSG00000127445
ENSG00000092199	ENSG00000129245
ENSG00000092199	ENSG00000133703
ENSG00000092199	ENSG00000171425
ENSG00000092199	ENSG00000175602
ENSG00000092199	ENSG00000184672
ENSG00000092529	ENSG00000103154
ENSG00000092531	ENSG00000105402
ENSG00000092531	ENSG00000108798
ENSG00000092531	ENSG00000129245
ENSG00000092531	ENSG00000135604
ENSG00000092531	ENSG00000138443
ENSG00000092841	ENSG00000167005
ENSG00000092841	ENSG00000182944
ENSG00000094841	ENSG00000121350
ENSG00000094880	ENSG00000157110
ENSG00000094880	ENSG00000166925
ENSG00000094880	ENSG00000265817
ENSG00000094916	ENSG00000101945
ENSG00000094916	ENSG00000156858
ENSG00000094916	ENSG00000206181
ENSG00000095059	ENSG00000163577
ENSG00000095059	ENSG00000163682
ENSG00000095059	ENSG00000196290
ENSG00000095059	ENSG00000275074
ENSG00000095066	ENSG00000099204
ENSG00000095066	ENSG00000128408
ENSG00000095066	ENSG00000136504
ENSG00000095066	ENSG00000140481
ENSG00000095066	ENSG00000151491
ENSG00000095066	ENSG00000156697
ENSG00000095066	ENSG00000166971
ENSG00000095066	ENSG00000168309
ENSG00000095066	ENSG00000169188
ENSG00000095066	ENSG00000189367
ENSG00000095066	ENSG00000196150
ENSG00000095261	ENSG00000161057
ENSG00000095370	ENSG00000100842
ENSG00000095574	ENSG00000095574
ENSG00000095574	ENSG00000175602
ENSG00000095574	ENSG00000182195
ENSG00000095752	ENSG00000185247
ENSG00000095787	ENSG00000171346
ENSG00000096093	ENSG00000120498
ENSG00000099204	ENSG00000127191
ENSG00000099204	ENSG00000130307
ENSG00000099204	ENSG00000136436
ENSG00000099204	ENSG00000166925
ENSG00000099204	ENSG00000167110
ENSG00000099204	ENSG00000171346
ENSG00000099204	ENSG00000182195
ENSG00000099204	ENSG00000183092
ENSG00000099256	ENSG00000118894
ENSG00000099256	ENSG00000126561
ENSG00000099256	ENSG00000138101
ENSG00000099256	ENSG00000160688
ENSG00000099256	ENSG00000165704
ENSG00000099256	ENSG00000182944
ENSG00000099256	ENSG00000196290
ENSG00000099622	ENSG00000147274
ENSG00000099783	ENSG00000173914
ENSG00000099917	ENSG00000183386
ENSG00000099917	ENSG00000188313
ENSG00000099917	ENSG00000275023
ENSG00000099940	ENSG00000171357
ENSG00000100038	ENSG00000109220
ENSG00000100038	ENSG00000213416
ENSG00000100129	ENSG00000178982
ENSG00000100201	ENSG00000120896
ENSG00000100201	ENSG00000168066
ENSG00000100218	ENSG00000161203
ENSG00000100246	ENSG00000112214
ENSG00000100246	ENSG00000264364
ENSG00000100266	ENSG00000100266
ENSG00000100266	ENSG00000124507
ENSG00000100290	ENSG00000171552
ENSG00000100297	ENSG00000112559
ENSG00000100320	ENSG00000131721
ENSG00000100320	ENSG00000143006
ENSG00000100320	ENSG00000157110
ENSG00000100320	ENSG00000183283
ENSG00000100335	ENSG00000198681
ENSG00000100347	ENSG00000106511
ENSG00000100351	ENSG00000108953
ENSG00000100351	ENSG00000124356
ENSG00000100351	ENSG00000131095
ENSG00000100351	ENSG00000157110
ENSG00000100351	ENSG00000160685
ENSG00000100351	ENSG00000162373
ENSG00000100351	ENSG00000165119
ENSG00000100351	ENSG00000213416
ENSG00000100379	ENSG00000100379
ENSG00000100379	ENSG00000115661
ENSG00000100379	ENSG00000129084
ENSG00000100379	ENSG00000137822
ENSG00000100379	ENSG00000165383
ENSG00000100379	ENSG00000182552
ENSG00000100379	ENSG00000196290
ENSG00000100379	ENSG00000240583
ENSG00000100379	ENSG00000275074
ENSG00000100395	ENSG00000115145
ENSG00000100395	ENSG00000130024
ENSG00000100395	ENSG00000163875
ENSG00000100417	ENSG00000175582
ENSG00000100505	ENSG00000125753
ENSG00000100505	ENSG00000158517
ENSG00000100505	ENSG00000166167
ENSG00000100519	ENSG00000110801
ENSG00000100519	ENSG00000142686
ENSG00000100519	ENSG00000167193
ENSG00000100519	ENSG00000175602
ENSG00000100568	ENSG00000170310
ENSG00000100577	ENSG00000100577
ENSG00000100605	ENSG00000127191
ENSG00000100644	ENSG00000268009
ENSG00000100644	ENSG00000269791
ENSG00000100721	ENSG00000136436
ENSG00000100721	ENSG00000181218
ENSG00000100722	ENSG00000171431
ENSG00000100722	ENSG00000182473
ENSG00000100764	ENSG00000175166
ENSG00000100764	ENSG00000175602
ENSG00000100814	ENSG00000100814
ENSG00000100842	ENSG00000120896
ENSG00000100865	ENSG00000103351
ENSG00000100906	ENSG00000196313
ENSG00000100908	ENSG00000104412
ENSG00000100911	ENSG00000100911
ENSG00000101004	ENSG00000103528
ENSG00000101004	ENSG00000104957
ENSG00000101004	ENSG00000105048
ENSG00000101004	ENSG00000107816
ENSG00000101004	ENSG00000116741
ENSG00000101004	ENSG00000117625
ENSG00000101004	ENSG00000120071
ENSG00000101004	ENSG00000128408
ENSG00000101004	ENSG00000130818
ENSG00000101004	ENSG00000133858
ENSG00000101004	ENSG00000136504
ENSG00000101004	ENSG00000140481
ENSG00000101004	ENSG00000140836
ENSG00000101004	ENSG00000151332
ENSG00000101004	ENSG00000156697
ENSG00000101004	ENSG00000165682
ENSG00000101004	ENSG00000166847
ENSG00000101004	ENSG00000167395
ENSG00000101004	ENSG00000168309
ENSG00000101004	ENSG00000169188
ENSG00000101004	ENSG00000171223
ENSG00000101004	ENSG00000174015
ENSG00000101004	ENSG00000175137
ENSG00000101004	ENSG00000176896
ENSG00000101004	ENSG00000179562
ENSG00000101004	ENSG00000182944
ENSG00000101004	ENSG00000187189
